BlockNumber; TaskNumber; EmotionalExpression; PositionExpression; NeutralAvatar; ReactionTime; ResponsePosition
3;3;afraid;right;old;2,184386;right
3;2;happy;right;old;2,230453;right
3;1;angry;left;old;2,303089;right
3;0;afraid;right;young;1,162514;right
2;3;afraid;right;young;2,55513;left
2;2;happy;left;old;2,129772;left
2;1;afraid;left;old;1,55069;left
2;0;afraid;left;old;1,441284;left
1;3;angry;right;old;1,464245;right
1;2;angry;right;old;1,891335;right
1;1;angry;left;young;1,166519;right
1;0;angry;left;young;1,200394;right
